ts,temp_mean,hum_mean,rain_total,rain_main,rain_1h,rain_3h,hum_1h_delta,temp_1h_delta,hour,season,w_TCSGNL,w_TC1,w_TC3,w_TC8,w_RAIN_AMBER,w_RAIN_RED,w_RAIN_BLACK,w_WTS,w_WMSGNL,w_WL,w_WFNTSA,w_WHOT,w_WCOLD,w_WFROST,w_WFIRE,tc_dist_km,tc_wind_kts,tc_24h_dist_km,tc_trend_toward,tc_dist_rate,f3_max,f3_mean,f3_trend
2026-08-02T08:50:11+00:00,24.9,94.0,60,22,0.0,0.0,0.0,0.0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
2026-08-02T08:50:20+00:00,24.9,94.0,60,22,0.0,0.0,0.0,0.0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
2026-08-02T08:50:46+00:00,24.9,94.0,60,22,0.0,0.0,0.0,0.0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
2026-08-02T08:50:54+00:00,24.9,94.0,60,22,0.0,0.0,0.0,0.0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
2026-08-02T08:51:01+00:00,24.9,94.0,60,22,0.0,0.0,0.0,0.0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
2026-08-02T08:54:01+00:00,24.9,94.0,60,22,0.0,0.0,0.0,0.0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
2026-08-02T09:04:14+00:00,25.0,95.0,101,28,41.0,41.0,1.0,0.1,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
2026-08-02T09:04:43+00:00,25.0,95.0,101,28,41.0,41.0,1.0,0.1,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
2026-08-02T09:05:17+00:00,25.0,95.0,101,28,41.0,41.0,1.0,0.1,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-02T09:05:32+00:00,25.0,95.0,101,28,41.0,41.0,1.0,0.1,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-02T19:13:41+00:00,25.1,96.0,42,6,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-02T20:57:48+00:00,25.1,97.0,14,2,0.0,-28.0,0.0,0.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-02T22:02:41+00:00,25.1,97.0,3,1,0.0,-39.0,0.0,0.0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-03T00:00:11+00:00,24.9,97.0,357,36,0.0,354.0,0.0,0.0,8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-03T04:31:31+00:00,27.6,88.0,1,1,0.0,0.0,0.0,0.0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-02T21:44:08+00:00,28.5,85.0,0,0,-14.0,-42.0,-12.0,3.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-02T21:44:33+00:00,28.5,85.0,0,0,-14.0,-42.0,-12.0,3.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,,,,
2026-08-03T08:31:04+00:00,28.3,82.0,0,0,0.0,0.0,0.0,0.0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.09,0.001,0.03
2026-08-03T12:27:03+00:00,26.5,88.0,0,0,0.0,0.0,0.0,0.0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.92,0.011,0.01
2026-08-03T15:44:55+00:00,26.5,88.0,0,0,0.0,0.0,0.0,0.0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.3,0.007,0.06
2026-08-03T17:53:42+00:00,26.2,89.0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.4,0.014,0.06
2026-08-03T19:40:41+00:00,26.0,93.0,0,0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.6,0.008,-0.37
2026-08-03T21:05:30+00:00,25.8,93.0,0,0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.75,0.008,0.14
2026-08-03T23:03:22+00:00,25.6,93.0,0,0,0.0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,6.85,0.089,-0.61
2026-08-04T02:44:13+00:00,29.3,79.0,0,0,0.0,0.0,0.0,0.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,2.76,0.017,-1.17
2026-08-04T05:49:44+00:00,30.7,75.0,0,0,0.0,0.0,0.0,0.0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,2000,0,0.0,2.79,0.039,0.67
2026-08-04T08:40:40+00:00,30.2,70.0,2,2,0.0,2.0,0.0,0.0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.03,0.0,0.0
2026-08-04T11:25:46+00:00,28.2,79.0,0,0,0.0,-2.0,0.0,0.0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.62,0.031,-0.11
2026-08-04T14:20:24+00:00,27.1,87.0,0,0,0.0,0.0,0.0,0.0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.59,0.003,0.37
2026-08-04T16:53:46+00:00,26.6,89.0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.44,0.004,0.04
2026-08-04T18:39:36+00:00,26.0,83.0,0,0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.21,0.001,0.02
2026-08-04T20:26:56+00:00,25.5,84.0,0,0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,0.17,0.001,-0.01
2026-08-04T22:14:49+00:00,25.4,87.0,0,0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0.0,1.27,0.004,1.2
2026-08-05T00:05:35+00:00,26.8,85.0,0,0,0.0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,0,2000,0,0.0,2.38,0.006,-2.15
2026-08-05T04:12:08+00:00,30.5,67.0,0,0,0.0,0.0,0.0,0.0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,0,2000,0,0.0,0.03,0.0,-0.03
2026-08-05T07:41:31+00:00,31.2,58.0,0,0,0.0,0.0,0.0,0.0,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,0,2000,0,0.0,0.09,0.001,0.01
2026-08-05T10:38:12+00:00,29.4,66.0,0,0,0.0,0.0,0.0,0.0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,0,2000,0,0.0,0.0,0.0,0.0
2026-08-05T12:55:19+00:00,27.5,72.0,0,0,0.0,0.0,0.0,0.0,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,0,2000,0,0.0,0.0,0.0,0.0
